username,userid,profile_location,created_at,text,retweet_count,source,coordinates
dee_candycane BA,1848326131,,2013-09-09 16:32:16,"RT @CollisionHQ: ""The solutions project was started to bring 100% renewable energy to 100% of the people."" 👏

@MarkRuffalo in conversation…",9,TweetDeck,
Jon Gauthier,15165910,"Toronto,ON",2008-06-19 04:17:09,"RT @CollisionHQ: ""The solutions project was started to bring 100% renewable energy to 100% of the people."" 👏

@MarkRuffalo in conversation…",9,Twitter for iPhone,
The Chronicle,283097972,Montreal,2011-04-16 15:32:56,"RT @CollisionHQ: ""The solutions project was started to bring 100% renewable energy to 100% of the people."" 👏

@MarkRuffalo in conversation…",9,Twitter for iPhone,
Collision Conf,2300426996,Canada ,2014-01-19 22:41:45,"""The solutions project was started to bring 100% renewable energy to 100% of the people."" 👏

@MarkRuffalo in conver… https://t.co/80m6ziTspf",9,Falcon Social Media Management ,
Ecumenical Ministries of Oregon,1090735112260530176,"Portland, OR",2019-01-30 22:14:50,"Thanks for meeting our creation justice advocacy team today, @RepLisaReynolds! Appreciate you co-sponsoring bills f… https://t.co/vh9hMND4KF",0,Twitter Web App,
Ecumenical Ministries of Oregon,1090735112260530176,"Portland, OR",2019-01-30 22:14:50,Our creation justice team were grateful to meet Rep. John Lively today for Earth Week advocacy. Thanks for supporti… https://t.co/pEBJdCEvld,0,Twitter Web App,
Ecumenical Ministries of Oregon,1090735112260530176,"Portland, OR",2019-01-30 22:14:50,"Thanks for meeting with us today for Earth Week advocacy, office of Rep. @AndreaRSalinas! Our EMO creation justice… https://t.co/28yvqdQoW1",0,Twitter Web App,
Kayrosis🇺🇸🧢🗽🔮🔭≥,1101089646900068352,Connecticut,2019-02-28 12:00:03,"RT @grist: For @SecDebHaaland, building back better means prioritizing environmental justice. 

“For generations we’ve put off the transiti…",20,Twitter Web App,
Neha Misra 🌱 नेहा,190405696,"Washington, DC ",2010-09-13 21:41:55,"RT @grist: For @SecDebHaaland, building back better means prioritizing environmental justice. 

“For generations we’ve put off the transiti…",20,Twitter for iPhone,
Bowiegrrl,874978103436734464,United States,2017-06-14 13:13:30,"RT @grist: For @SecDebHaaland, building back better means prioritizing environmental justice. 

“For generations we’ve put off the transiti…",20,Twitter for iPhone,
Kat 4 Obama,617619927,"Washington State, USA",2012-06-24 22:40:01,"RT @grist: For @SecDebHaaland, building back better means prioritizing environmental justice. 

“For generations we’ve put off the transiti…",20,Twitter Web App,
Thomas Saunders,1231428198312734720,U.S.A.,2020-02-23 04:00:25,"RT @grist: For @SecDebHaaland, building back better means prioritizing environmental justice. 

“For generations we’ve put off the transiti…",20,Twitter Web App,
Timothy Sistrunk,934122264794038277,,2017-11-24 18:11:17,"RT @grist: For @SecDebHaaland, building back better means prioritizing environmental justice. 

“For generations we’ve put off the transiti…",20,Twitter for iPhone,
Bear Trust International,305818642,"Windsor, Colorado",2011-05-26 20:57:26,"RT @grist: For @SecDebHaaland, building back better means prioritizing environmental justice. 

“For generations we’ve put off the transiti…",20,Twitter Web App,
Giovanni Rocco,14875838,"Washington, DC",2008-05-23 01:27:14,"RT @grist: For @SecDebHaaland, building back better means prioritizing environmental justice. 

“For generations we’ve put off the transiti…",20,Twitter Web App,
Electric Girls,3064995795,New Orleans,2015-03-01 01:59:07,"RT @grist: For @SecDebHaaland, building back better means prioritizing environmental justice. 

“For generations we’ve put off the transiti…",20,Twitter Web App,
Angela Adrar,1110298116010340352,Miami,2019-03-25 21:51:13,"RT @grist: For @SecDebHaaland, building back better means prioritizing environmental justice. 

“For generations we’ve put off the transiti…",20,Twitter for iPhone,
