username,user_url,title,view_num,created_at,video_url,shortdesc,collected_at,img_url
VICE,/user/vice,What Really Happened at Standing Rock | I Was There,706K,6 months,/watch?v=J1yD2J8vHAk,,2021-04-18 16:49:41.585548,https://i.ytimg.com/vi/J1yD2J8vHAk/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLD971tUjdEiOjhBjJ_uKhYvXsR2dA
Taboo,/channel/UC5aqukzSeAj9etVpQpct88A,Stand Up / Stand N Rock #NoDAPL (Official Video),2.8M,4 years,/watch?v=Onyk7guvHK8,,2021-04-18 16:49:41.588541,https://i.ytimg.com/vi/Onyk7guvHK8/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCLNq4zx-NreBexV0rLUYnxT4ImhA
Cray Novick,/channel/UCrFazgm3d1cNLGqVXNHHT5g,Water Protectors -- Standing Rock 2020,2.4K,4 months,/watch?v=ply14OGxq5Q,,2021-04-18 16:49:41.591533,https://i.ytimg.com/vi/ply14OGxq5Q/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDKDx7RA0gbe68yjRffMoCvKX-SWw
Yolanda Pushetonequa,/channel/UCmOES9NqszZi5PKdaoTLPhQ,Standing Rock by Trevor Hall with footage #NoDAPL #StandingRock,320K,4 years,/watch?v=dyzzEnRR8f8,,2021-04-18 16:49:41.593570,https://i.ytimg.com/vi/dyzzEnRR8f8/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAvp7SjUTRN_7J1LepdFzXLKtnKUA
Bullfrog Films,/user/bullfrogfilms,"Bullfrog Films presents...AWAKE, A DREAM FROM STANDING ROCK",22K,3 years,/watch?v=Czd-VP6dlxA,,2021-04-18 16:49:47.467511,https://i.ytimg.com/vi/Czd-VP6dlxA/hqdefault.jpg?sqp=-oaymwEcCOADEI4CSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLD_FmRAO5PMAoho5o9WEVg8x6eEcA
Sally Kellett,/channel/UC6ppB4KD24zpddtQ0Th_nHg,Standing Rock Oct  27th,25K,3 years,/watch?v=sx0a7IQiqcM,,2021-04-18 16:49:47.469473,https://i.ytimg.com/vi/sx0a7IQiqcM/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBvDZL4iW1KTc9AUpMDBwfVQzKTxQ
